trial,WSLS_choice,feedback,true_noise,true_win_stay,true_lose_shift,opponent_choices,cumulative_rate_WSLS,cumulative_rate_opponent
81,0,0,0,0.3,0.7,1,0.48148148148148145,0.48148148148148145
82,0,1,0,0.3,0.7,0,0.47560975609756095,0.47560975609756095
83,1,0,0,0.3,0.7,0,0.4819277108433735,0.46987951807228917
84,0,0,0,0.3,0.7,1,0.47619047619047616,0.47619047619047616
85,0,1,0,0.3,0.7,0,0.47058823529411764,0.47058823529411764
86,1,1,0,0.3,0.7,1,0.47674418604651164,0.47674418604651164
87,0,1,0,0.3,0.7,0,0.47126436781609193,0.47126436781609193
88,1,0,0,0.3,0.7,0,0.4772727272727273,0.4659090909090909
89,0,1,0,0.3,0.7,0,0.47191011235955055,0.4606741573033708
90,0,0,0,0.3,0.7,1,0.4666666666666667,0.4666666666666667
91,1,0,0,0.3,0.7,0,0.4725274725274725,0.46153846153846156
92,1,1,0,0.3,0.7,1,0.4782608695652174,0.4673913043478261
93,0,1,0,0.3,0.7,0,0.4731182795698925,0.46236559139784944
94,1,0,0,0.3,0.7,0,0.4787234042553192,0.4574468085106383
95,1,0,0,0.3,0.7,0,0.4842105263157895,0.45263157894736844
96,0,0,0,0.3,0.7,1,0.4791666666666667,0.4583333333333333
97,1,0,0,0.3,0.7,0,0.4845360824742268,0.4536082474226804
98,0,1,0,0.3,0.7,0,0.47959183673469385,0.4489795918367347
99,1,0,0,0.3,0.7,0,0.48484848484848486,0.4444444444444444
100,0,0,0,0.3,0.7,1,0.48,0.45
101,1,0,0,0.3,0.7,0,0.48514851485148514,0.44554455445544555
102,1,1,0,0.3,0.7,1,0.49019607843137253,0.45098039215686275
103,0,1,0,0.3,0.7,0,0.4854368932038835,0.44660194174757284
104,1,0,0,0.3,0.7,0,0.49038461538461536,0.4423076923076923
105,0,1,0,0.3,0.7,0,0.4857142857142857,0.4380952380952381
106,0,1,0,0.3,0.7,0,0.4811320754716981,0.4339622641509434
107,1,0,0,0.3,0.7,0,0.48598130841121495,0.42990654205607476
108,0,1,0,0.3,0.7,0,0.48148148148148145,0.42592592592592593
109,1,0,0,0.3,0.7,0,0.48623853211009177,0.42201834862385323
110,0,1,0,0.3,0.7,0,0.4818181818181818,0.41818181818181815
111,0,0,0,0.3,0.7,1,0.4774774774774775,0.42342342342342343
112,1,0,0,0.3,0.7,0,0.48214285714285715,0.41964285714285715
113,0,0,0,0.3,0.7,1,0.4778761061946903,0.4247787610619469
114,0,1,0,0.3,0.7,0,0.47368421052631576,0.42105263157894735
115,1,0,0,0.3,0.7,0,0.4782608695652174,0.41739130434782606
116,1,1,0,0.3,0.7,1,0.4827586206896552,0.4224137931034483
117,0,0,0,0.3,0.7,1,0.47863247863247865,0.42735042735042733
118,1,0,0,0.3,0.7,0,0.4830508474576271,0.423728813559322
119,1,0,0,0.3,0.7,0,0.48739495798319327,0.42016806722689076
120,0,0,0,0.3,0.7,1,0.48333333333333334,0.425
1,1,0,0,0.3,0.9,0,1,0
2,0,0,0,0.3,0.9,1,0.5,0.5
3,1,1,0,0.3,0.9,1,0.6666666666666666,0.6666666666666666
4,0,0,0,0.3,0.9,1,0.5,0.75
5,1,1,0,0.3,0.9,1,0.6,0.8
6,1,1,0,0.3,0.9,1,0.6666666666666666,0.8333333333333334
7,0,1,0,0.3,0.9,0,0.5714285714285714,0.7142857142857143
8,1,0,0,0.3,0.9,0,0.625,0.625
9,0,0,0,0.3,0.9,1,0.5555555555555556,0.6666666666666666
10,1,1,0,0.3,0.9,1,0.6,0.7
11,0,0,0,0.3,0.9,1,0.5454545454545454,0.7272727272727273
12,1,1,0,0.3,0.9,1,0.5833333333333334,0.75
13,0,1,0,0.3,0.9,0,0.5384615384615384,0.6923076923076923
14,1,1,0,0.3,0.9,1,0.5714285714285714,0.7142857142857143
15,0,1,0,0.3,0.9,0,0.5333333333333333,0.6666666666666666
16,1,1,0,0.3,0.9,1,0.5625,0.6875
17,0,1,0,0.3,0.9,0,0.5294117647058824,0.6470588235294118
18,0,1,0,0.3,0.9,0,0.5,0.6111111111111112
19,1,0,0,0.3,0.9,0,0.5263157894736842,0.5789473684210527
20,0,1,0,0.3,0.9,0,0.5,0.55
21,1,0,0,0.3,0.9,0,0.5238095238095238,0.5238095238095238
22,0,1,0,0.3,0.9,0,0.5,0.5
23,1,0,0,0.3,0.9,0,0.5217391304347826,0.4782608695652174
24,0,1,0,0.3,0.9,0,0.5,0.4583333333333333
25,1,0,0,0.3,0.9,0,0.52,0.44
26,0,0,0,0.3,0.9,1,0.5,0.46153846153846156
27,1,1,0,0.3,0.9,1,0.5185185185185185,0.48148148148148145
28,0,0,0,0.3,0.9,1,0.5,0.5
29,1,1,0,0.3,0.9,1,0.5172413793103449,0.5172413793103449
30,0,1,0,0.3,0.9,0,0.5,0.5
31,1,0,0,0.3,0.9,0,0.5161290322580645,0.4838709677419355
32,1,0,0,0.3,0.9,0,0.53125,0.46875
33,1,0,0,0.3,0.9,0,0.5454545454545454,0.45454545454545453
34,0,0,0,0.3,0.9,1,0.5294117647058824,0.47058823529411764
35,1,0,0,0.3,0.9,0,0.5428571428571428,0.45714285714285713
36,0,0,0,0.3,0.9,1,0.5277777777777778,0.4722222222222222
37,1,0,0,0.3,0.9,0,0.5405405405405406,0.4594594594594595
38,0,1,0,0.3,0.9,0,0.5263157894736842,0.4473684210526316
39,1,1,0,0.3,0.9,1,0.5384615384615384,0.46153846153846156
40,0,0,0,0.3,0.9,1,0.525,0.475
41,1,1,0,0.3,0.9,1,0.5365853658536586,0.4878048780487805
